Label,Speech
No Ad Hominem,"Obviously, I’m hoping to earn your vote, I’m hoping to be elected in November, and I can promise you, I will work with every American. religion. He never apologized to the distinguished federal judge who was born in Indiana, but Donald said he couldn’t be trusted to be a judge because his parents were, quote, “Mexican.”He never apologized to the reporter that he mimicked and mocked on national television and our children were watching. And he never apologized for the racist lie that President Obama was not born in the United States of America. He owes the president an apology, he owes our country an apology, and he needs to take responsibility for his actions and his words. I began this campaign because I was so tired of seeing such foolish things happen to our country."
No Ad Hominem,That's not what I believe. I believe that the free enterprise system is the greatest engine of prosperity the world's ever known. I believe in self - reliance and individual initiative and risk takers being rewarded.
No Ad Hominem,"That has been where all our resources have gone. In the meantime, bin Laden is still out there. He is not captured. He is not killed. Al Qaida is resurgent."
No Ad Hominem,"And I'll bring new competition to bring the price down. And if you pass the big drug companies' bill, nothing will happen."
No Ad Hominem,"Also, there is a strange dichotomy in this whole position about our courts ruling that abortion is not the taking of a human life. In California, sometime ago, a man beat a woman so savagely that her unborn child was born dead with a fractured skull, and the California State Legislature unanimously passed a law that was signed by the then - Democratic Governor -- signed a law that said that any man who so abuses a pregnant woman that he causes the death of her unborn child shall be charged with murder. Now, isn't it strange that that same woman could have taken the life of her unborn child, and it was abortion and not murder, but if somebody else does it, that's murder?"
No Ad Hominem,"We made a deal, it was all settled, until I decided to run for president. I get treated very badly by the IRS, very unfairly, but we had a deal all done. As soon as we’re completed with the deal, I want to release it."
No Ad Hominem,"We can’t let that happen, Joe, you can’t let that happen. We have to open up and we understand the disease, we have to protect our seniors, we have to protect our elderly, we have to protect, especially, our seniors with heart problems and diabetes problems, and we will protect them. We have the best testing in the world by far."
No Ad Hominem,"Well, I'm really calling for major jobs, because the wealthy are going to create tremendous jobs. They're going to expand their companies."
No Ad Hominem,"When Mr. Nitze, a good negotiator, returned, he was rebuked, and his boss was fired. This is the kind of leadership that we've had in this administration on the most deadly issue of our times. Now we have a runaway arms race."
No Ad Hominem,"I've got a plan to increase the wetlands by 3 million. We've got an aggressive brown field program to refurbish inner - city sore spots to useful pieces of property. I proposed to the United States Congress a Clear Skies Initiative to reduce sulfur dioxide, nitrogen oxide and mercury by 70 percent."
No Ad Hominem,"Secondly, that you get a $2,000 rebate from the government if you're a family of $30,000 or less -- it scales down as you get higher -- that you can use to purchase health care in the private markets. It will be a huge down payment for a pretty darn good system. If you allow -- also allow -- convince states to -- allow states to allow the mother to match some of the children's health insurance money with it, the pool purchasing power."
No Ad Hominem,"And we have to keep our military strong. We have the strongest military, and I'll do whatever is necessary, if I'm president, to make sure that it stays that way. But our real power comes, I think, from our values."
No Ad Hominem,"Here in America, we can disagree, we can debate vigorously as Senator Harris and I have on this stage tonight. But when the debate is over, we come together as Americans. And that’s what people do in big cities and small towns all across this country, so I just want to encourage you, Brecklynn, I want to tell you that we’re going to work every day to have a government as good as our people, the American people, each and every day."
No Ad Hominem,"Something like a 24-hour waiting period, parental notification. I was in Los Angeles recently and I talked to a woman who told me that she had an abortion when she was 17 years of age. And looking back on that she said it was a mistake. She said -- she said I wished at that time, that I was going through this difficult time, that I had counseling to talk about the post - abortion trauma, and talk about adoption rather than abortion."
No Ad Hominem,"And I make it plain again: I am for women's rights. But I would like to call the attention of the people to the fact that that so - called simple amendment would be used by mischievous men to destroy discriminations that properly belong, by law, to women respecting the physical differences between the two sexes, labor laws that protect them against things that would be physically harmful to them. Those would all, could all be challenged by men."
No Ad Hominem,"That's the kind of economy I want us to see again. needs. Our country's in deep trouble. We don't know what we're doing when it comes to devaluations and all of these countries all over the world, especially China."
No Ad Hominem,"Congress has gotten kind of institutionalized. For 38 years one party has controlled the House of Representatives, and the result, a sorry little post office that can't do anything right and a bank that has more overdrafts than all the Chase Bank and Citibank put together. We've got to do something about it."
No Ad Hominem,"They have poor - quality health care. Our health - care system is the envy of the world because we believe in making sure that the decisions are made by doctors and patients, not by officials in the nation's capital. The president just said that government - run health care results in poor quality."
No Ad Hominem,And you name it. We should recognize that this country lives in such a way as to build an alliance with our free enterprise system that can build a better America for our children and our grandchildren. We can do it.
No Ad Hominem,And Mr. Ford hasn't done anything about it. And I think this shows a callous indifference to the families that have suffered so much. He has vetoed bills passed by Congress within the congressional budget guidelines job opportunities for two million Americans.
No Ad Hominem,And in some cases may be still at large. But I support the death penalty in the most heinous cases. I do.
No Ad Hominem,"These are unidentified people, and after the bomb goes off, they're blown to bits because they are suicidal individuals who think they're going to go to paradise if they perpetrate such an act and lose their life in doing it. We are going to, as I say, we're busy trying to find the centers where these operations stem from, and retaliation will be taken. But we're not going to simply kill some people to say, ""Oh, look, we got even.''"
No Ad Hominem,"The Bishop of that very church said that it was a disgrace. The general who was with him said “All he ever wants to do is divide people, not unite people at all.” This is a president who has used everything as a dog whistle, to try to generate racist hatred, racist division. This is a man who, in fact, you talk about helping African - Americans, one in 1000 African Americans has been killed because of the coronavirus."
No Ad Hominem,"But thank goodness we've always had enough people who have been willing in every generation to push past the fear of a broken heart and become deeply involved in forming a more perfect union. We're America, and we believe in our future and we know we have the ability to shape our future. Now, we've got to address one of the biggest threats to our democracy."
No Ad Hominem,"In other words, we've got to be tough. But in order to stop this arms madness, we've got to push ahead with tough negotiations that are verifiable so that we know the Soviets are agreeing and living up to their agreement. Support for U. S."
No Ad Hominem,"It means that the American buyer is getting a better bargain today because inflation is less. With all due respect to President Ford, I think he ought to be ashamed of mentioning that statement, because we have the highest unemployment rate now than we had at any time between the Great Depression caused by Herbert Hoover and the time President Ford took office. We've got seven and a half million people out of jobs."
No Ad Hominem,"There are all kinds of ways to create jobs in the inner city. I'm not a politician, but I think I could go to Washington in a week and get everybody holding hands and get this bill signed because I talk to the Democratic leaders and they want it. I talk to the Republican leaders and they want it. But since they're bred from childhood to fight with one another rather than get results, you know, I would be glad to drop out and spend a little time and see if we couldn't build some bridges."
No Ad Hominem,That's not what I think. I think it's the hard - working people of America's money and I want to share some of that money with you so you have more money to build and save and dream for your families. It's a difference of opinion.
No Ad Hominem,"I think that the means that I advocate will reach that goal better than the means that he advocates. I could give better examples, but for - for whatever it is, whether it's in the field of housing, or health, or medical care, or schools, or the eh- development of electric power, we have programs which we believe will move America, move her forward and build on the wonderful record that we have made over these past seven and a half years. Now, when we look at these programs, might I suggest that in evaluating them we often have a tendency to say that the test of a program is how much you're spending."
No Ad Hominem,"I think it's the attitude. I think it's a cynicism in Washington and it doesn't have to be that way. Before I decided to run, I had to resolve two issues in my mind."
No Ad Hominem,"Because this is the stimulation, the incentive for companies to go out and explore for oil, to develop it. If we didn't have a depletion allowance of certainly, I believe, the present amount, we would have our oil exploration cut substantially in this country. Now, as far as my position then is concerned, it is exactly opposite to the Senator's."
No Ad Hominem,"No nation will ever have a veto over us. But I think it makes sense, I think most Americans in their guts know, that we ought to pass a sort of truth standard. That's how you gain legitimacy with your own countrypeople, and that's how you gain legitimacy in the world."
No Ad Hominem,And you're absolutely right. People are fed up. They've had enough with the bickering and the partisanship that seems to characterize the debate that goes on in the nation's capital. I've seen it done differently though.
No Ad Hominem,"You can't be a superpower unless you're an economic superpower. If we're not an economic superpower, we're a used to be and we will no longer be a force for good throughout the world. And if nothing else gets you excited about rebuilding our industrial base maybe that will because job one is to put our people back to work."
No Ad Hominem,"But one thing I would say where diplomacy is concerned, Israel should feel absolutely secure about one thing. Our bonds with Israel are larger than agreements or disagreements on some details of diplomatic initiatives. They are historic, they are strong, and they are enduring."
No Ad Hominem,"Where are companies going to go where they can create jobs and where they can do best in business? We need to cut the business tax rate in America. We need to encourage business. Now, of all times in America, we need to cut people's taxes. We need to encourage business, create jobs, not spread the wealth around."
No Ad Hominem,"We want there to be electronic medical records to cut down on error, as well as reduce cost. People tell me that when the health - care field is fully integrated with information technology, it'll wring some 20 percent of the cost out of the system. And finally, moving generic drugs to the market quicker."
No Ad Hominem,We know he's still in Baghdad today. He is responsible for most of the major car bombings that have killed or maimed thousands of people. He's the one you will see on the evening news beheading hostages.
No Ad Hominem,"As far as Indochina was concerned, I stated over and over again that it was essential during that period that the United States make it clear that we would not tolerate Indochina falling under Communist domination. Now, as a result of our taking the strong stand that we did, the civil war there was ended; and today, at least in the south of Indochina, the Communists have moved out and we do have a strong, free bastion there. Now, looking to the U-2 flights, I would like to point out that I have been supporting the President's position throughout."
Ad Hominem,"Could I just respond to this, please? Hillary Clinton, in terms of having people come into our country, we have many criminal illegal aliens. When we want to send them back to their country, their country says we don’t want them."
Ad Hominem,"2 million women who are trying to raise their families would earn another $3,800 a year. The president has denied 9. 2 million women $3,800 a year, but he doesn't hesitate to fight for $136,000 to a millionaire. One percent of America got $89 billion last year in a tax cut, but people working hard, playing by the rules, trying to take care of their kids, family values, that we're supposed to value so much in America -- I'm tired of politicians who talk about family values and don't value families."
Ad Hominem,"He has the ability to lock himself up. I don’t know, he’s obviously made a lot of money, someplace, but he has this thing about living in a basement. People can’t do that."
Ad Hominem,"And he has. As the politics change, his positions change. And that's not how a commander in chief acts."
Ad Hominem,"I am the only one on this stage who prosecuted for - profit colleges for taking advantage of our veterans. And the reality of this is, that we are talking about an election in 27 days where last week, the President of the United States took a debate stage in front of 70 million Americans and refused to condemn white supremacists. And –Not true.– it wasn’t like he didn’t have a chance."
Ad Hominem,"And we can do it again, if we take politics out of it. Stop scaring the seniors, Mr. President. You've already spent $45 million scaring seniors and tearing me apart. I think it's time to have a truce. Well, let me say, first of all, I'd be happy to have a commission deal with this and I appreciate what Senator Dole did on the '83 Social Security commission."
Ad Hominem,"Not by much. I’m here standing facing you, old buddy. If Pocahontas would have left two days early you would have lost every primary."
Ad Hominem,"He owes the president an apology, he owes our country an apology, and he needs to take responsibility for his actions and his words. Well, you owe the president an apology, because as you know very well, your campaign, Sidney Blumenthal—he’s another real winner that you have—and he’s the one that got this started, along with your campaign manager, and they were on television just two weeks ago, she was, saying exactly that. So you really owe him an apology. You’re the one that sent the pictures around your campaign, sent the pictures around with President Obama in a certain garb."
Ad Hominem,"What does this mean in real life? Well, the other day, Vice President Bush disclosed his tax returns to the American people. He's one of the wealthiest Americans, and he's our Vice President. In 1981 I think he paid about 40 percent in taxes. In 1983, as a result of these tax preferences, he paid a little over 12 percent, 12.8 percent in taxes. That meant that he paid a lower percent in taxes than the janitor who cleaned up his office or the chauffeur who drives him to work. I believe we need some fairness."
Ad Hominem,"Put it on the website. The fact of the matter is he’s flat lying. I do rule out banning fracking because the answer we need — we need other industries to transition to get to, ultimately, a complete zero emissions by 2025."
Ad Hominem,"We had the worst financial crisis, the Great Recession, the worst since the 1930s. storm. In fact, Donald was one of the people who rooted for the housing crisis. He said, back in 2006, ""Gee, I hope it does collapse, because then I can go in and buy some and make some money."""
Ad Hominem,He actually was sued twice by the Justice Department. So he has a long record of engaging in racist behavior. And the birther lie was a very hurtful one.
Ad Hominem,"They’re murderers and some very bad people. And I will tell you very strongly, when Bernie Sanders said she had bad judgment, she has really bad judgment, because we are letting people into this country that are going to cause problems and crime like you’ve never seen. We’re also letting drugs pour through our southern border at a record clip."
Ad Hominem,"In my view, the policy has failed. So Congress passes the law, the President signs it, like he does a lot of things. But he, like welfare reform, I'm going to sign it but I'm going to try to change it next year. A lot of these election - year conversions, the President talks about the drug money, and all the other things, all this antismoking campaign all happened in 1996."
Ad Hominem,"(APPLAUSE) But I happen to -- I agree with one thing on -- with Senator Gore, and that is that we ought to look to the future, and the future is, who's going to be the next president of the US. And is it a negative attack and a personal attack to point out that Bill Clinton simply has trouble telling the truth? He said that he didn't even demonstrate -- he told the people in Arkansas in 1978."
Ad Hominem,"In fact, it would be the most extreme version, the biggest tax cuts for the top percent of the people in this country than we've ever had. I call it trumped - up trickle - down, because that's exactly what it would be. That is not how we grow the economy."
Ad Hominem,"You made three and a half million dollars, Joe, and your son gave you. They even have a statement that we have to give 10% to the big man. You’re the big man, I think."
Ad Hominem,"Some people don’t do a good job. Well, here’s the- [crosstalk]Well, it’s hard to get any word in with this clown. Excuse me, this person."
Ad Hominem,"We have to be, because we have troops on the ground there and because they have created a haven for terrorists. Your rhetoric, Senator, would be a lot more credible if there was a record to back it up. There isn't."
Ad Hominem,"And when Iraq if free, America will be more secure. The president just talked about Iraq as a center of the war on terror. Iraq was not even close to the center of the war on terror before the president invaded it. The president made the judgment to divert forces from under General Tommy Franks from Afghanistan before the Congress even approved it to begin to prepare to go to war in Iraq."
Ad Hominem,"And today, we are 90 percent of the casualties and 90 percent of the costs. And meanwhile, North Korea has got nuclear weapons. Talk about mixed messages. The president is the one that said, ""We can't allow countries to get nuclear weapons."" They have."
Ad Hominem,"And he cut defense an extra $60 billion, threw a lot of people out of work. He talks about a smaller government. There are actually more people in government except for people in defense related jobs. They're gone. The government's bigger than it was when President Kennedy was around, even though he says it's not. In addition, Republican Congress cut $53 billion."
Ad Hominem,"And when she said irredeemable, they’re irredeemable, you didn’t mention that, but when she said they’re irredeemable, to me that might have been even worse. She’s got tremendous—she’s got tremendous hatred. And this country cannot take another four years of Barack Obama, and that’s what you’re getting with her."
Ad Hominem,"And we've got to begin early, in the first, second and third grade, before our youngsters begin to experiment with these very, very dangerous substances. I guess the question I would ask of Mr. Bush is how we instill those values, how we create this environment for the drug free schools that we want in this country. If he or representatives of the administration are either with or involving people like Noriega in our foreign policy, or don't pursue that connection in a way that makes it possible for us to cut it off and to be an example to our kids all over the country. Well, the other day my opponent was given a briefing by the CIA."
Ad Hominem,"If you look at Bill Clinton, far worse. Mine are words, and his was action. His was what he’s done to women. There’s never been anybody in the history of politics in this nation that’s been so abusive to women. So you can say any way you want to say it, but Bill Clinton was abusive to women."
Ad Hominem,"I proved that I will sign reasonable tort reform. Secondly, Senator Dole had some pretty harsh comments about special interest money, but it wasn't me who opposed what we tried to do to save the lives of children who were subject to tobacco and then went to the tobacco growers and bragged about standing up for the Federal government when we tried to stop the advertising, marketing, and sales of tobacco to children. And it wasn't me that let the polluters actually come into the halls of Congress, into the rooms, and rewrite the environmental laws. That's what Speaker Gingrich and Senator Dole did, not me. That's not true."
Ad Hominem,"So, yes, this is who Donald Trump is. But it’s not only women, and it’s not only this video that raises questions about his fitness to be our president, because he has also targeted immigrants, African - Americans, Latinos, people with disabilities, POWs, Muslims, and so many others. So this is who Donald Trump is."
Ad Hominem,"Because we’ve seen this throughout the campaign. We have seen him insult women. We’ve seen him rate women on their appearance, ranking them from one to ten."
Ad Hominem,"We’ve learned and studied and understand the disease, which we didn’t at the beginning. When I closed and banned China from coming in heavily infected, and then ultimately Europe, but China was in January — months later he was saying I was xenophobic, I did it too soon. Now he’s saying, ‘Oh, I should have, I should have, you know, moved quicker.’ But he didn’t move quicker; he was months behind me, many months behind me."
Ad Hominem,"Ninety - nine United States senators voted for it. And the president's been very busy running around the country using what I just described to you as a reason to say I'm wishy - washy, that I'm a flip - flopper. Now that's not a flip - flop."
Ad Hominem,Stand by.’ And this is a part of a pattern of Donald Trump’s. He was – he called Mexicans rapists and criminals. He instituted as his first act a Muslim ban.
Ad Hominem,"It's one of the reasons why we have a drug education and prevention program that is reaching out and helping youngsters all over our state, the kind of thing I want to do as president of the United States. You know, the vice president says he wants to impose the death penalty on drug traffickers, and yet his administration has a federal furlough program which is one of the most permissive in the country, which gave last year 7,000 furloughs to drug traffickers and drug pushers, the same people that he says he now wants to execute. The issue of abortion is a very difficult issue, one that I think that we all have to wrestle with, we have to come to terms with."
Ad Hominem,"We will always protect Medicare within the context of a balanced budget plan. Folks, they have no plan. They have absolutely no plan. The President himself suggested that the reduction in the growth of Medicare over the next five or six years ought to be held to 6 percent under the Republican plan, irrespective of the numbers, it will grow at 7 or even more percent, but that is beside the point."
Ad Hominem,"When we terminated 400,000 desperate, hopeless, defenseless Americans who were on disability -- confused and unable to defend themselves, and just laid them out on the street, as we did for 4 years, I don't think that's what America is all about. America is a fair society, and it is not right that Vice President Bush pays less in taxes than the janitor who helps him. I believe there's fundamental fairness crying out that needs to be achieved in our tax system."
Ad Hominem,"Hey, Joe, you're rich, congratulations, because what Joe wanted to do was buy the business that he's been working for 10-12 hours a day, seven days a week, and you said that you wanted to spread the wealth, but -- in other words, take Joe's money and then you decide what to do with it. Now, Joe, you're rich, congratulations, and you will then fall into the category where you'll have to pay a fine if you don't provide health insurance that Senator Obama mandates, not the kind that you think is best for your family, your children, your employees, but the kind that he mandates for you. That's big government at its best."
Ad Hominem,"But I believe that the next Administration should work for a balanced budget, and that would be my intention. Mr. Nixon misstates my figures constantly, which uh - is of course his right, but the fact of the matter is: here is where I stand and I just want to have it on the public record. Senator Kennedy has indicated on several occasions in this program tonight that I have been misstating his record and his figures."
Ad Hominem,"And he cut defense an extra $60 billion, threw a lot of people out of work. He talks about a smaller government. There are actually more people in government except for people in defense related jobs. They're gone. The government's bigger than it was when President Kennedy was around, even though he says it's not. In addition, Republican Congress cut $53 billion."
Ad Hominem,"He never apologized to Mr. and Mrs. Khan, the Gold Star family whose son, Captain Khan, died in the line of duty in Iraq. And Donald insulted and attacked them for weeks over their religion. He never apologized to the distinguished federal judge who was born in Indiana, but Donald said he couldn’t be trusted to be a judge because his parents were, quote, “Mexican.”He never apologized to the reporter that he mimicked and mocked on national television and our children were watching."
Ad Hominem,"They started from the day I won, and even before I won. From the day I came down the escalator with our first lady, they were a disaster. They were a disgrace to our country, and we’ve caught ’em."
Ad Hominem,"He owes the president an apology, he owes our country an apology, and he needs to take responsibility for his actions and his words. Well, you owe the president an apology, because as you know very well, your campaign, Sidney Blumenthal—he’s another real winner that you have—and he’s the one that got this started, along with your campaign manager, and they were on television just two weeks ago, she was, saying exactly that. So you really owe him an apology. You’re the one that sent the pictures around your campaign, sent the pictures around with President Obama in a certain garb."
Ad Hominem,"Well, you didn’t do very well in Swine Flu. H1-N1, you were a disaster. Your own Chief of Staff said you were a disaster. 14,000 people died, not 200,000. A far less lethal disease, by the way."
Ad Hominem,"We've got to do something about it. And I think you get a certain arrogance, bureaucratic arrogance, if people stay there too long. And so I favor, strongly favor, term limits."
Ad Hominem,She doesn't have the stamina. I said she doesn't have the stamina. And I don't believe she does have the stamina.
Ad Hominem,"But that can't hide the fact that there are eight million men and women out of work in America today, and two million of those lost their jobs in just the last few months. Mr. Carter had also promised that he would not use unemployment as a tool to fight against inflation. And yet, his 1980 economic message stated that we would reduce productivity and gross national product and increase unemployment in order to get a handle on inflation, because in January, at the beginning of the year, it was more than 18%. Since then, he has blamed the people for inflation, OPEC, he has blamed the Federal Reserve system, he has blamed the lack of productivity of the American people, he has then accused the people of living too well and that we must share in scarcity, we must sacrifice and get used to doing with less."
Ad Hominem,"OK? And she lied. But she’s lied about a lot of things. I would be a president for all of the people, African - Americans, the inner cities."
Ad Hominem,"You shouldn’t be bringing up Wall Street. Because you’re the one that takes the money from Wall Street, not me. I could blow away your records like you wouldn’t believe."
Ad Hominem,"The big drug companies support Governor Bush's prescription drug proposal. They oppose mine because they don't want to get Medicare involved because they're afraid that Medicare will negotiate lower prices for seniors who currently pay the highest prices of all. I've been standing up to big Hollywood, big trial lawyers."
Ad Hominem,"What does this mean in real life? Well, the other day, Vice President Bush disclosed his tax returns to the American people. He's one of the wealthiest Americans, and he's our Vice President. In 1981 I think he paid about 40 percent in taxes. In 1983, as a result of these tax preferences, he paid a little over 12 percent, 12.8 percent in taxes. That meant that he paid a lower percent in taxes than the janitor who cleaned up his office or the chauffeur who drives him to work. I believe we need some fairness."
Ad Hominem,"And part of that leadership is sending the right message to places like North Korea. Right now the president is spending hundreds of millions of dollars to research bunker - busting nuclear weapons. The United States is pursuing a new set of nuclear weapons. It doesn't make sense. You talk about mixed messages. We're telling other people, ""You can't have nuclear weapons,"" but we're pursuing a new nuclear weapon that we might even contemplate using. Not this president."
Ad Hominem,"And yet that very committee of which I am chairman has been handicapped by the fact that we have not had adequate funds; we have not had adequate powers; we haven't had an adequate staff. Now in the special session of Congress and also in the session that preceded it, the Democratic Congress - in which there's a two - to - one Democratic majority - was asked by the President to give us the funds and give us the power to do a job and they did nothing at all, And in the special session in which Senator Kennedy was calling the signals, along with Senator Johnson, they turned it down and he himself voted against giving us the powers despite the fact that the bill had already been considered before, that it already had hearings on, and the Congress already knew what it had before it. All that I can say is this: what we need here are not just high hopes."
No Ad Hominem,"And therefore, I think, we should make it very clear the disagreement between Mr. Nixon and myself."
No Ad Hominem,But I also laid out a very strict series of things we needed to do in order to proceed from a position of strength.
No Ad Hominem,  I would pick somebody who would not allow their personal opinion to get in the way of the law.
No Ad Hominem,"We did, of course, consult with our allies before we bombed Saddam Hussein, but sometimes the United States has to take unilateral action when our interests are at stake."
No Ad Hominem,"We can't afford that in the next eight years and Senator Obama, with the Democrats in charge of Congress, things have gotten worse."
No Ad Hominem,"And that's one of the reasons I've said before, and I'll pledge here tonight, if I'm president, the very first bill that Joe Lieberman and I will send to the United States Congress is the McCain-Feingold campaign finance reform bill."
No Ad Hominem,"Senator Kennedy has a responsibility to criticize those things that are wrong, but he has also a responsibility to be right in his criticism."
No Ad Hominem,The major threat is external and will continue.
No Ad Hominem,"And I suspect, given his record, he's going to raise taxes."
No Ad Hominem,Now maybe it's better just to get together and sit down and talk.
No Ad Hominem,And -- and the -- and the president's statement of my policy is completely and totally wrong.
No Ad Hominem,"How could you be Commander-in-Chief of the armed forces and have some kid say -- when you have to make a tough decision, as I did in Panama or Kuwait and then have some kid jump up and say, ""Well, I'm not going to go."
No Ad Hominem,But what I'm not for what I'm not for is measuring it the way that the Democratic Congress does.
No Ad Hominem,But certainly we're not going to have peace by giving in and indicating in advance that we are not going to defend what has become a symbol of freedom.
No Ad Hominem,He had 16 other resolutions and nothing took place.
No Ad Hominem,I think that economics is one of the single most important parts of this problem.
No Ad Hominem,And I think the figures that he has given are simply not going to stand up.
No Ad Hominem,Most people are working harder for less money than they were making ten years ago.
No Ad Hominem,And I don't think we've got all the facts before we make decisions.
No Ad Hominem,We should be helping them build schools to compete for those hearts and minds of the people in the region so that we're actually able to take on terrorism.
No Ad Hominem,"And when those rich corporations don't pay that tax, the average American taxpayer pays it for 'em."
No Ad Hominem,Now the greenhouse effect is an important environmental issue.
No Ad Hominem,"Senator McCain cut -- Senator McCain opposed funding for troops in legislation that had a timetable, because he didn't believe in a timetable."
No Ad Hominem,"Because you are the ones who have the hardest time paying taxes, the hardest time making ends meet."
No Ad Hominem,"And most importantly, we give small business a 50 percent tax credit so that after we lower the costs of health care, they also get, whether they're self-employed or a small business, a lower cost to be able to cover their employees."
No Ad Hominem,"Even President Nixon, because he was a strong leader at least, worked with a Democratic Congress very well."
No Ad Hominem,I've never seen members of a party locked out of meetings the way they're locked out today.
No Ad Hominem,"I was so proud of our President in the way he handled that, and the result, so far, is excellent."
No Ad Hominem,"So I think the personal stories are, in some respects, surprisingly similar."
No Ad Hominem,"Mr. Khrushchev is in New York, and he maintains the Communist offensive throughout the world because of the productive power of the Soviet Union itself."
No Ad Hominem,And I just had to work that in.
No Ad Hominem,And looking back on that she said it was a mistake.
No Ad Hominem,I'm here tonight for these young people up here in the balcony from this college.
No Ad Hominem,"Once and for all, I want to do something about Medicare."
No Ad Hominem,"And every day that goes by, we see the results of the regime by Assad in partnership with the Iranians on the ground, the Russians in the air, bombarding places, in particular Aleppo, where there are hundreds of thousands of people, probably about 250,000 still left."
No Ad Hominem,These are people that give of themselves everyday and every week and every month.
No Ad Hominem,"And it's not only just America, but NATO is now helping, Jordan's helping train police, UAE is helping train police."
No Ad Hominem,And there are 1.4 million manufacturing jobs that have been lost because of the policies of you and George Bush.
No Ad Hominem,"He has asked for $932 million of earmark pork-barrel spending, nearly a million dollars for every day that he's been in the United States Senate."
No Ad Hominem,We're selling Japanese rice from California for the first time.
No Ad Hominem,"And so, those are four ways to help control the costs in health care."
No Ad Hominem,But it's very important to put this in context.
No Ad Hominem,"Now this does not include - any - extra control over unnecessary spending, the weeding out of obsolete or obsolescent programs."
No Ad Hominem,"He should not be thrown into a category of a 47 percent who don't pay their taxes while he was out there fighting and not having to pay taxes, and somehow not taking responsibility."
No Ad Hominem,And I want to call a hemispheric summit just as soon after the 20th of January as possible to fight that war.
No Ad Hominem,That's why we don't want to send fewer people to the... 
No Ad Hominem,"Two weeks ago, there was a meeting of the North Atlantic Council, which is the political arm of NATO."
No Ad Hominem,"But if our national security is at stake, if we have allies, if we've tried every other course, if we're sure military action will succeed, and if the costs are proportionate to the benefits, we should get involved."
No Ad Hominem,I said we're going to bet on American workers and the American auto industry and it's come surging back.
No Ad Hominem,Fewer water complaints since I've been the president.
