date,subject,speaker,party,text
8 februari 2024,Staat van de Volkshuisvesting,De Hoop,GroenLinks-PvdA,"Ik zal even op twee onderdelen van de interruptie van mevrouw Keijzer ingaan. Ten eerste had zij het over de particuliere verhuurders die voor hun pensioen een aantal woningen hebben. Ik kan mij voorstellen dat het voor hen fijn is om een redelijk rendement te halen. Maar het is voor mijn fractie, GroenLinks-Partij van de Arbeid, van het grootste belang dat we woningen bouwen. Ik ben heel erg begaan met partijen die woningen willen bouwen. Wat betreft particuliere huurders die een woning als een belegging hebben: dat is hartstikke fijn. Ik ben blij voor ze als ze daar een rendement uit halen. Maar mijn grootste zorg zitniet bij partijen die vanwege het rendement dat misschien minder wordt, van de markt gaan. Mijn grootste zorg zit bij de grootste investeerders, zoals de pensioenfondsen. Die geven aan: wij zouden prima uit de voeten kunnen met een iets lager rendement als wij meer duidelijkheid hebben. Dat is het eerste onderdeel van de vraag van mevrouw Keijzer. Het tweede onderdeel is dat wij als GroenLinks-Partij van de Arbeid tegenwoordig bijna communistisch zouden worden als wij corporaties een grotere rol willen geven in de middenhuur. Dat bestrijd ik zeer. Als er marktpartijen zijn die zeggen dat ze de uitgeponde woningen op zich willen nemen en dat ze daar rendement uit kunnen halen, staat hun dat natuurlijk vrij. Alleen, ik zeg: als er een situatie ontstaat waarin dat niet het geval is, kunnen we dan niet kijken of corporaties daar een rol in kunnen hebben? Het is puur een vraag aan de minister. Het is een onderzoeksmotie. Ik ben er heel nieuwsgierig naar. Ik denk dat het juist hartstikke sociaal is en in het belang van heel veel huurders"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,Dank u wel. Mevrouw Beckerman van de SP
8 februari 2024,Staat van de Volkshuisvesting,Beckerman,SP,"Goedemiddag. Ik hoop dat de SP bekendstaat als een consequente partij. Daarom kom ik met een aantal moties die we eerder, net voor de verkiezingen, hebben ingediend. Toen haalden ze het net niet, maar nu zouden ze het moeten halen. Daarom dus de volgende pogingen. Motie De Kamer, gehoord de beraadslaging, constaterende dat de woonlasten in Nederland tot de hoogste van Europa behoren; overwegende dat in 2021 een huurbevriezing ook gelukt is; verzoekt de regering de huren in de corporatiesector te bevriezen en de woningcorporaties te compenseren, en gaat over tot de orde van de dag"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,"Deze motie is voorgesteld door het lid Beckerman. Zij krijgt nr. 1140 (32847). Motie De Kamer, gehoord de beraadslaging, overwegende dat bijna de helft van de wachtenden op een sociale huurwoning al meer dan drie jaar wacht;constaterende dat de bouw van sociale huurwoningen nog altijd niet voldoende is; verzoekt de regering extra middelen vrij te maken voor meer nieuwbouw van sociale huurwoningen, juist ook in wijken met een laag aandeel sociale huur, en gaat over tot de orde van de dag"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,"Deze motie is voorgesteld door het lid Beckerman. Zij krijgt nr. 1141 (32847). Motie De Kamer, gehoord de beraadslaging, constaterende dat het kabinet een brandbrief ontvangen heeft over de verkoop van sociale huurwoningen door woningcorporaties die in Nederland jaarlijks duizenden sociale huurwoningen verkopen; constaterende dat ook commerciële verhuurders al jaren tiendduizenden sociale huurwoningen per jaar liberaliseren en verkopen en daarmee doorgaan; overwegende dat het kabinet de wachtlijst voor een sociale huurwoning wil verkleinen; verzoekt de regering pas op de plaats te laten maken bij de verkoop van sociale huurwoningen door woningcorporaties, en gaat over tot de orde van de dag"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,"Deze motie is voorgesteld door het lid Beckerman. Zij krijgt nr. 1142 (32847). Motie De Kamer, gehoord de beraadslaging, overwegende dat nog steeds te veel sociale huurwoningen gebreken kennen; verzoekt de regering extra middelen vrij te maken voor de aanpak van sociale huurwoningen met gebreken, zoals schimmel en een laag energielabel, en huurders de mogelijkheid te bieden de aanpak hiervan te initiëren, en gaat over tot de orde van de dag"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,"Deze motie is voorgesteld door het lid Beckerman.Zij krijgt nr. 1143 (32847). Motie De Kamer, gehoord de beraadslaging, constaterende dat verkoop, sloop zonder vernieuwingsnieuwbouw en liberalisatie van sociale huurwoningen ervoor zorgen dat woningzoekenden nog vele jaren langer moeten wachten en dus indruisen tegen de progressieve realisatie van het recht op behoorlijke huisvesting; overwegende dat dit recht voorschrijft dat de Nederlandse Staat juist een bijzondere verantwoordelijkheid heeft voor huishoudens met lage inkomens; verzoekt de regering dit fundamentele grond- en mensenrecht te verwezenlijken door een pas op de plaats te maken met de verkoop, sloop zonder vervangingsnieuwbouw en liberalisatie van sociale huurwoningen, en gaat over tot de orde van de dag"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,Deze motie is voorgesteld door het lid Beckerman. Zij krijgt nr. 1144 (32847)
8 februari 2024,Staat van de Volkshuisvesting,Beckerman,SP,"Dank u wel, voorzitter"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,"Dan mevrouw Keijzer. O, er is nog een vraag van de heer Peter de Groot. Sorry"
8 februari 2024,Staat van de Volkshuisvesting,Peter de Groot,VVD,Mevrouw Beckerman is consequent. Zij is ook consequent in heel snel praten om haar moties in te kunnen dienen. Mijn complimenten daarvoor. Mijn vraag gaat over de eerste motie. U heeft daar namelijk ook een debat over aangevraagd
8 februari 2024,Staat van de Volkshuisvesting,Beckerman,SP,Ja
8 februari 2024,Staat van de Volkshuisvesting,Peter de Groot,VVD,"Zo maar even uren verlagen kan natuurlijk enorme consequenties hebben voor het geld dat de corporaties nodig hebben voor verduurzamen, wat u wilt, en om te bouwen. Als VVD zijn we gewoon nog een beetje zoekende naar welke kant het dan opgaat. Dat zicht hebben we helemaal niet. Hebben we dat debat en de informatie daarvoor niet nodig om hierover überhaupt als Kamer een zinnige uitspraak te kunnen doen"
8 februari 2024,Staat van de Volkshuisvesting,Beckerman,SP,"Ik dank de VVD voor het mogelijk maken van de huurbevriezing van 2021. Dat is toen gelukt door de steun van de VVD. Ik wil eigenlijk twee dingen zeggen. Aan de ene kant kwam er vorige week een nieuw Nibud-onderzoek dat zei: heel veel Nederlanders gaan er gelukkig een beetje of iets meer op vooruit, maar juist de laagste inkomens niet. Die huurbevriezing kan ervoor zorgen dat we juist deze groep gewoon concreet en direct helpen. Aan de andere kant heeft de heer De Groot natuurlijk een terecht punt: weten we genoeg en komen corporaties niet in de problemen? Ik heb natuurlijk eerder voorstellen gedaan om ervoor te zorgen dat corporaties niet in de problemen komen. We hebben bijvoorbeeld gepleit voor het afschaffen van de vennootschapsbelasting en de ATAD. Wij vinden het bizar dat woningcorporaties winstbelasting en een belasting die eigenlijk bedoeld is voor belastingontwijkende multinationals, moeten betalen. Ik heb daar dus voorstellen voor. Moeten we hierover een breder debat voeren? Graag. Maar dat kan natuurlijk ook nadat we deze motie hebben aangenomen en dat weten. Dank u"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,Absoluut. Mevrouw Keijzer van de fractie van BBB
8 februari 2024,Staat van de Volkshuisvesting,Keijzer,BBB,"Dank u wel, voorzitter. In het verkiezingsprogramma van de BBB staan allerlei praktisch oplossingen voor het grote tekort aan woonplekken dat we in Nederland hebben, zoals soepeler omgaan met rood voor rood. Het splitsen van woningen van mensen loopt nu vast in besluitvorming op gemeentelijk niveau vanwege bestemmingsplannen en hoge leges. Maar het gaat ook om de volgende situatie. Motie De Kamer, gehoord de beraadslaging, constaterende dat veel jongeren in landelijke gebieden geen koop- en huurwoningen kunnen vinden in hun eigen dorp of gemeente vanwege de huidige schaarste op de woningmarkt; constaterende dat stallen en schuren een andere bestemming krijgen als boeren stoppen, en er een gericht stoppersbeleid is; constaterende dat leegstaande schuren relatief eenvoudig kunnen worden omgebouwd tot kwalitatieve (huur)woningen, maar dat lokale wet- en regelgeving dit vaak belemmert; constaterende dat jongeren indirect noodgedwongen illegaal in leegstaande schuren wonen om dakloosheid te vermijden; overwegende dat de verbouwing van leegstaande schuren tot woningen duurzaam hergebruik van materialen stimu-leert, de veiligheid op het platteland bevordert, weinig effect heeft op het energie- en waterverbruik, en betaalbare huisvesting kan bieden aan jongeren in landelijke gebieden; verzoekt de regering actief wet- en regelgeving aan te passen om het ombouwen van leegstaande stallen en schuren tot woningen mogelijk te maken, en gaat over tot de orde van de dag"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,Deze motie is voorgesteld door de leden Keijzer en Pierik. Zij krijgt nr. 1145 (32847)
8 februari 2024,Staat van de Volkshuisvesting,Keijzer,BBB,"Dank u wel, voorzitter"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,Dank u wel. Dan mevrouw Welzijn van de fractie van NSC
8 februari 2024,Staat van de Volkshuisvesting,Welzijn,NSC,"Dank u wel, voorzitter. Ik heb twee moties naar aanleiding van het commissiedebat van 31 januari. Motie De Kamer, gehoord de beraadslaging, constaterende dat de woningbouwopgave fors is en de vergunningverlening daalt; constaterende dat hierdoor de noodzaak gestegen is om de bestaande voorraad beter te benutten; constaterende dat woningsplitsen, woningdelen en optoppen een enorme potentie hebben in het verminderen van de wooncrisis en dat deze oplossingen met grote snelheid, lage kosten en weinig materialen (duurzaam) uitgevoerd kunnen worden; verzoekt de regering om op zeer korte termijn concrete afspraken te maken met corporaties over het aantrekkelijk maken van woningdelen, over concrete aantallen te splitsen en op te toppen woningen per jaar en tevens met alle gemeenten te komen tot een eenduidig en eenvoudig proces voor alle aanvragers, en gaat over tot de orde van de dag"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,Deze motie is voorgesteld door de leden Welzijn en De Hoop. Zij krijgt nr. 1146 (32847)
8 februari 2024,Staat van de Volkshuisvesting,Welzijn,NSC,"Dan de tweede motie. Motie De Kamer, gehoord de beraadslaging, constaterende dat de woningbouwopgave fors is en de vergunningverlening daalt; constaterende dat problemen als de renteontwikkeling en bouwkostenontwikkeling niet stuurbaar zijn; constaterende dat de stapeling van maatregelen, waaronder de fiscale maatregelen, volgens investeerders ongunstig uitpakken; overwegende dat Nederland gebaat is bij een gezond investeringsklimaat in huurwoningen, waarbij naast de bescherming van huurders investeerders bereid blijven om tegen een redelijk rendement in de bouw van nieuwe huurwoningen te blijven investeren; verzoekt de regering om samen met marktpartijen in beeld te brengen welke ontwikkelingen er zijn in de investeringsbereidheid van marktpartijen op de woningmarkt in de periode 2021 tot op heden en daarbij de genomen fiscale maatregelen mee te nemen, en gaat over tot de orde van de dag"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,Deze motie is voorgesteld door het lid Welzijn. Zij krijgt nr. 1147 (32847)
8 februari 2024,Staat van de Volkshuisvesting,Welzijn,NSC,Dank u wel
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,Dank u wel. Dan de heer Stoffer van de SGP
8 februari 2024,Staat van de Volkshuisvesting,Stoffer,SGP,"Voorzitter. Eén motie van onze zijde. Zij luidt als volgt. Motie De Kamer, gehoord de beraadslaging, constaterende dat woningcorporaties slechts onder strikte voorwaarden middenhuurwoningen mogen bouwen, omdat dit geen diensten van algemeen economisch belang (nietDAEB) zijn op grond van Europese regelgeving; overwegende dat woningcorporaties meer in staat moeten worden gesteld om woningen met een middenhuur tebouwen, met behoud van de eigenstandige positie van woningcorporaties; verzoekt de regering zich in Europees verband blijvend in te spannen om de voorwaarden voor het bouwen van middenhuurwoningen door woningcorporaties te versoepelen; verzoekt de regering tevens onderzoek te doen naar maatregelen die woningcorporaties in staat stellen deze woningen ook daadwerkelijk te bouwen, bijvoorbeeld ook op financieel gebied, en gaat over tot de orde van de dag"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,Deze motie is voorgesteld door de leden Stoffer en Flach. Zij krijgt nr. 1148 (32847)
8 februari 2024,Staat van de Volkshuisvesting,Stoffer,SGP,Ik dien deze motie voor en mede namens de heer Flach in. Dank u wel
8 februari 2024,Staat van de Volkshuisvesting,Peter de Groot,VVD,"Een vraag aan de heer Stoffer van de SGP. De VVD is helemaal niet tegen het feit dat corporaties middenhuurwoningen bouwen. Daar zijn nationale prestatieafspraken voor gemaakt. Maar ik hoor in deze Kamer wel heel erg vaak dat corporaties een steeds grotere rol moeten pakken en ook steeds meer ruimte moeten nemen. Het afgelopen jaar hebben we gezien dat er eigenlijk maar heel weinig echte sociale woningen zijn gebouwd, terwijl we daarom staan te springen. Is het wel een goed idee om de corporaties een veel grotere rol toe te bedelen? Moeten we niet wat zuiniger zijn op investeringspartijen, die nu van de woningbouw weglopen"
8 februari 2024,Staat van de Volkshuisvesting,Stoffer,SGP,"Laat ik vooropstellen dat ik de heer Flach vervang. Hij heeft veel meer verstand van dit soort zaken dan ik. Laat ik dat maar toegeven. Ja, wij denken dat dit goed is en dat dit helpt om te zorgen dat meer mensen aan een woning komen. Ik hoor graag of de minister dat met mij eens is of niet en daarna zullen we zien of de Kamer dit kan steunen. Dank u wel"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,Een correct antwoord. De heer Madlener van de fractie van de PVV
8 februari 2024,Staat van de Volkshuisvesting,Madlener,PVV,"Dank u wel, voorzitter. Een aantal partijen hier zegt het zo goed met de huurder voor te hebben, maar dit zijn dezelfde partijen die vaak verantwoordelijk zijn voor die enorme massa-immigratie zonder dat er voldoende huizen zijn gebouwd. Er zijn in de afgelopen tien jaar een miljoen mensen bij gekomen. Dat heeft gezorgd voor deze enormemisstanden. Er is in Nederland een puinhoop gemaakt door immigratie in combinatie met te weinig bouwen. Dat hoor ik veel te weinig van de verantwoordelijke partijen in deze zaal. Voorzitter. We hebben een goed debat gehad. Er moeten veel woningen worden gebouwd. Daar zijn we het allemaal over eens. Ik maak me echter zorgen over de kwaliteit van de woningen. We moeten niet de achterstandswijken van de toekomst gaan bouwen. Daarom heb ik één motie en daarna heb ik nog een motie. Motie De Kamer, gehoord de beraadslaging, overwegende dat er de komende jaren veel nieuwe woningen zullen worden gebouwd; overwegende dat de minister hiertoe afspraken heeft gemaakt met de provincies en gemeenten, corporaties en marktpartijen in ""woondeals""; constaterende dat deze afspraken vooral gaan over kwantiteit en betaalbaarheid; verzoekt de regering om bij de uitvoering meer oog te hebben voor de wensen van de toekomstige bewoners en de leefbaarheid van deze nieuwe woongebieden — onder andere: oppervlakte middenklassewoningen groot genoeg voor middenklassegezinnen met kinderen, parkeergelegenheid (eventueel met oplader), openbaargroenvoorziening, tuinen, speelvelden, fietspaden en voldoende uitvalswegen — zodat de leefbaarheid niet onder druk komt te staan in de toekomst, en gaat over tot de orde van de dag"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,Deze motie is voorgesteld door het lid Madlener. Zij krijgt nr. 1149 (32847)
8 februari 2024,Staat van de Volkshuisvesting,Madlener,PVV,"Dit is een aanmoedigende motie over kwaliteit. Ze is ook bedoeld voor alle wethouders in Nederland. Tot slot, voorzitter, de huurstijging. We hebben vorig jaar gelukkig een huurbevriezing gehad. Daar zijn we erg blij mee. Dat geeft wat lucht aan de onderkant van de salarisstructuur in Nederland. Voor al die mensen daarin is dat dus een goede zaak geweest. Het is daarom eigenlijk vreemd dat er nu is afgesproken dat de huren met maar liefst 5,8% kunnen worden verhoogd. Dat staat in contrast met wat er vorig jaar gebeurd is. Die 5,8% komt voort … Nee, ik ga mijn motie eerst voorlezen. Motie De Kamer,gehoord de beraadslaging, verzoekt de minister om de maximale stijging van de huurprijs per 1 juli 2024 vast te stellen op 3,5%, en gaat over tot de orde van de dag"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,Deze motie is voorgesteld door het lid Madlener. Zij krijgt nr. 1150 (32847)
8 februari 2024,Staat van de Volkshuisvesting,Madlener,PVV,Dan heb ik dat maar vast gedaan
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,Wilt u nog een toelichting geven
8 februari 2024,Staat van de Volkshuisvesting,Madlener,PVV,"Dat zou ik wel willen. Als ik nog een paar minuten spreektijd mag, dan wil ik dat graag doen"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,De heer De Hoop gaat u helpen
8 februari 2024,Staat van de Volkshuisvesting,De Hoop,GroenLinks-PvdA,"Ik ben allereerst benieuwd waar die 3,5% vandaan komt. De tweede vraag, die daarachter ligt, is: waar moet dat geld dan vandaan komen? Dit is namelijk zonder dekking. Wíj hebben een onderzoeksmotie, maar u noemt nadrukkelijk een percentage"
8 februari 2024,Staat van de Volkshuisvesting,Madlener,PVV,"Normaal gesproken hadden we altijd het systeem dat de inflatie de huurstijging bepaalt. Vorig jaar is er een andere keus gemaakt: de inflatie pakt wel heel erg hoog uit; laten we nu de loonontwikkeling nemen als basis voor de huurstijging. We hoopten dat het dan lager zou zijn dan bij de inflatie als basis. Maar nu blijkt het tegenovergestelde waar. De inflatie vorig jaar was 3,2% en gaat misschien iets stijgen. Dus die 3,5% die ik hier voorstel, is ongeveer wat de inflatie zal zijn over een jaar, van juli tot juli. Daarom 3,5%. Ik vind niet dat de corporaties daarmee heel zielig zijn of onderbedeeld zijn. Ze kunnen gewoon de huren verhogen tot het inflatieniveau. Daar worden ze dus niet armer van. Maar de huurders worden er wel beter van. 5,3% of 5,8% is gewoon te veel, want dan gaan ze weer in de achteruitstand. En dat willen we niet"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,"Heel kort, want ik wil niet het debat helemaal over gaan doen. Ik wil ook naar de minister. Dus kort en puntig: korte vraag, kort antwoord"
8 februari 2024,Staat van de Volkshuisvesting,De Hoop,GroenLinks-PvdA,"Als ik het goed begrijp, wordt het gedekt vanuit de kosten van corporaties zelf en niet vanuit de rijksfinanciën"
8 februari 2024,Staat van de Volkshuisvesting,Madlener,PVV,"Ja, absoluut"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,"Mevrouw Beckerman, kort"
8 februari 2024,Staat van de Volkshuisvesting,Beckerman,SP,Net voor de verkiezingen heeft u de motie van de SP gesteund om de huren te bevriezen. Ook toen wisten we al van die grote huurverhoging. Waarom deze draai
8 februari 2024,Staat van de Volkshuisvesting,Madlener,PVV,"Ik denk dat dit een goed compromis is. We zijn er in de afgelopen jaren aan gewend dat de inflatie leidend is voor de huurverhoging. Dat is natuurlijk ook redelijk, ook voor de corporaties. De investeringscapaciteit van de corporaties wordt dan ook niet aangetast, want ze kunnen de inflatie gewoon doorberekenen. Daarbij is het voor de huurder een veel betere keus. Dus de keus die vorig jaar is gemaakt om nu in plaats van de inflatie ineens de loonontwikkeling te kiezen, komt heel erg ongunstig uit voor huurders. Vandaar dat ik vraag om gewoon weer ongeveer de inflatie te pakken als huurstijging. Daar worden de corporaties niet armer van, en de huurders ook niet"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,Kort
8 februari 2024,Staat van de Volkshuisvesting,Beckerman,SP,"Dan nog. De PVV wist dat die grote huurstijging eraan kwam en stemde voor een huurbevriezing. Met wie sluit de PVV nu een compromis? Huurders gaan hiermee alsnog meer huur betalen, terwijl u beloofde dat dat niet zou hoeven. Vorige week hebben we bij het Nibud nog gezien dat juist de laagste inkomens erop achteruitgaan. Waarom kiest u ervoor om die huurders op kosten te jagen, terwijl u voor de verkiezingen nog zei: nee, we willen een huurbevriezing"
8 februari 2024,Staat van de Volkshuisvesting,Madlener,PVV,"Nou, als we nu kiezen voor een gematigde huurstijging van ongeveer inflatieniveau, gaan de huurders er natuurlijk niet op achteruit. We hebben net namelijk geconstateerd dat de loonontwikkeling voor de meeste huurders hoger is dan de inflatie, maar niet voor iedereen, want het zijn gemiddelden. Dus vandaar. Dit lijkt me een goede tussenweg. Als eerste komen de corporaties niet in zware problemen; ze kunnen gewoon de huur verhogen met het inflatieniveau. De huurders zijn beter af. Dus zie dit als een mooi compromis tussen het voorstel om het te bevriezen en het voorstel van de heer De Jonge. Het lijkt me redelijk. Ik denk dat de huurders er blij mee zijn en ik hoop dat toch ook u een beetje blij bent met dit voorstel"
8 februari 2024,Staat van de Volkshuisvesting,De voorzitter,,"De heer Paternotte, kort"
8 februari 2024,Staat van de Volkshuisvesting,Paternotte,D66,Ik begrijp dat de corporaties niet gecompenseerd gaan worden. Dan klopt het toch dat ze dus minder kunnen bouwen
8 februari 2024,Staat van de Volkshuisvesting,Madlener,PVV,"De reden dat corporaties weinig bouwen, is vooral dat ze te weinig betaalbare grond hebben. Ik denk dat we daar iets aan moeten doen. Dat wordt, denk ik, de opdracht van een nieuwe regering, waar wij hopelijk deel van uitmaken. Dat grondbeleid in Nederland is volstrekt verkeerd. Het moet eigenlijk ook weer een beetje terug naar vroeger, een soort renaissance van de woningbouw, zou ik voorstellen. Daar zit hem de oplossing. De inflatiecorrectie die ik nu voorstel, is prima voor corporaties. Daar gaan ze niet van in de problemen komen. Dus vandaar dit voorstel"
